file root,scan number,scan time,total ion current,precursor m/z,precursor charge,precursor mass delta,confidence,modification,usi,comments
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,224,0.775328884533333,132688.2350769043,854.945068359375,5,2960.0973417968753,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,231,0.799950297333333,212618.55981445312,454.2385142420984,3,48.08754272629517,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,251,0.8739486392,474047.9974975586,433.33053253549167,2,-447.9669349290166,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,276,0.967866728266667,144075.82913208008,746.1920588826652,2,177.75611776533037,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,294,1.03380506426667,190891.83575439453,405.29947418908506,2,-504.0290516218298,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,298,1.04646884453333,436076.3751220703,414.31529963405814,2,-485.99740073188366,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,304,1.0669250304,314528.4172363281,402.17930160681436,2,-510.2693967863712,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,325,1.14495407013333,241248.77612304688,409.43985558174484,2,-495.74828883651026,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,330,1.1616123824,224503.24920654297,427.3776073464351,2,-459.8727853071297,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,338,1.18958312293333,347406.94342041016,401.847105315777,2,-510.9337893684459,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,373,1.3205140856,322188.79626464844,402.1793000160147,2,-510.26939996797057,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,377,1.33327227573333,469594.87200927734,414.86813992901097,6,1174.5808395740657,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,379,1.33821382506667,423845.4387207031,461.36195042749017,2,-391.9040991450196,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,435,1.55002798693333,393687.083984375,414.31493789592696,2,-485.998124208146,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,562,2.03324860933333,395606.0688781738,414.8685305558099,6,1174.5831833348595,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,569,2.05749649173333,339398.6499633789,414.3150746815245,2,-485.99785063695094,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,574,2.0738914784,218702.70050048828,409.4399900310048,2,-495.7480199379903,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,702,2.55975498373333,311750.7974243164,414.31514423819596,2,-485.997711523608,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,714,2.60303058026667,435115.6132507324,461.3622397751084,2,-391.9035204497832,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,738,2.69246590586667,170578.32110595703,405.29939158893745,2,-504.029216822125,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,760,2.77382597253333,1371805.594543457,428.89076464648275,2,-456.8464707070344,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,785,2.86666089973333,191866.38482666016,409.4399585260874,2,-495.7480829478251,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,790,2.88313662773333,352996.7953186035,415.03620019937233,2,-484.55559960125527,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,873,3.19705193653333,166507.13482666016,405.2994841291505,2,-504.0290317416989,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,943,3.46136332586667,171360.5721435547,409.43998812530003,2,-495.74802374939986,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,992,3.64536660773333,135242.80200195312,1095.2037353515625,5,4161.390676757813,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1108,4.08473364106667,119233.93930053711,409.44029668197334,2,-495.74740663605326,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1146,4.2266293304,286726.15759277344,414.3152189412498,2,-485.99756211750037,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1154,4.2548266416,155762.35842895508,405.299515452765,2,-504.02896909446997,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1221,4.50732759626667,1361025.0691833496,428.89071378090006,2,-456.8465724381998,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1261,4.6573178616,175035.6787109375,489.05509021911485,2,-336.51781956177024,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1296,4.7882723624,255377.91348266602,401.3528974745052,2,-511.92220505098953,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1327,4.9030962512,261382.6128540039,414.3152303906378,2,-485.99753921872434,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1343,4.9615269768,148891.86602783203,405.29948531814364,2,-504.02902936371265,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1375,5.0814094496,173624.02703857422,436.87895375315406,2,-440.8700924936918,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1412,5.21986126426667,250026.62161254883,402.1795453627266,2,-510.2689092745467,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1449,5.35853524213333,168464.07641601562,422.6866122302547,2,-469.25477553949054,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1532,5.67254654613333,176680.4228515625,486.7161622499581,2,-341.1956755000838,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1534,5.677526808,163642.43814086914,405.2994890469825,2,-504.0290219060349,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1558,5.76699348906667,154046.65228271484,409.4399783469231,2,-495.7480433061537,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1561,5.77587721466667,1342646.5595092773,428.89075137115987,2,-456.8464972576802,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1587,5.8727818808,529185.9713745117,443.6922960484923,2,-427.2434079030153,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1601,5.9238265512,167757.064453125,487.2081841962126,2,-340.21163160757476,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1629,6.02819555333333,172100.74365234375,407.20757346889667,2,-500.2128530622066,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1640,6.0678027624,217477.08282470703,551.2375214328363,2,-212.15295713432738,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1678,6.20998273973333,195789.40313720703,507.7210824655744,2,-299.18583506885113,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1699,6.28757283093333,749957.4068603516,551.2375079427626,2,-212.15298411447475,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1704,6.30410948986667,209399.77337646484,570.2114090394347,2,-174.2051819211306,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1706,6.30909176,313423.90634155273,579.6968632982314,2,-155.23427340353714,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1708,6.31411082026667,123124.05838012695,563.2163687751969,2,-188.19526244960616,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1709,6.31646955973333,152431.48046875,600.1979139402866,2,-114.23217211942665,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1711,6.32139004373333,327354.69439697266,579.6969005921724,2,-155.2341988156552,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1713,6.32635650746667,183779.37088012695,758.2211807869586,2,201.81436157391727,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1715,6.3313158504,72658.00332641602,562.2275138996724,2,-190.17297220065507,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1716,6.33367620133333,119674.43194580078,583.6982191968322,2,-147.23156160633562,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1718,6.338655204,143383.40521240234,590.19862865894,2,-134.23074268211985,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1738,6.41296909306667,282525.51763916016,414.31523656178905,2,-485.99752687642183,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1750,6.45610929786667,258933.58673095703,401.3525139912296,2,-511.9229720175407,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1759,6.48751734133333,345146.53356933594,551.7306415793371,2,-211.16671684132575,,,,
