FileRoot,ScanNumber,ScanTime,TIC
250402_mEclipse_QC_ncORF-055,1,0.00105779493333333,1285781.1724853516
250402_mEclipse_QC_ncORF-055,2,0.006627792,1166325.5138549805
250402_mEclipse_QC_ncORF-055,3,0.0121895965333333,1187526.7723388672
250402_mEclipse_QC_ncORF-055,4,0.0177592344,1158905.1821289062
250402_mEclipse_QC_ncORF-055,5,0.0233312813333333,1235051.670715332
250402_mEclipse_QC_ncORF-055,6,0.0289012544,1209557.9697265625
250402_mEclipse_QC_ncORF-055,7,0.0344873018666667,1137873.2687988281
250402_mEclipse_QC_ncORF-055,8,0.0400606330666667,1188174.7742919922
250402_mEclipse_QC_ncORF-055,9,0.0456341173333333,1270644.9567260742
250402_mEclipse_QC_ncORF-055,10,0.0512056850666667,1189103.3623046875
250402_mEclipse_QC_ncORF-055,11,0.0567765125333333,1155046.2819824219
250402_mEclipse_QC_ncORF-055,12,0.0623455621333333,1282244.2276611328
250402_mEclipse_QC_ncORF-055,13,0.0679438448,1225463.7326049805
250402_mEclipse_QC_ncORF-055,14,0.0735136933333333,1121949.1959838867
250402_mEclipse_QC_ncORF-055,15,0.0790782048,1252311.2805786133
250402_mEclipse_QC_ncORF-055,16,0.0846581306666667,1110994.2934570312
250402_mEclipse_QC_ncORF-055,17,0.0902347664,1129208.0167236328
250402_mEclipse_QC_ncORF-055,18,0.0958053016,1214991.8567504883
250402_mEclipse_QC_ncORF-055,19,0.1014037696,1251705.1474609375
250402_mEclipse_QC_ncORF-055,20,0.106982410666667,1204558.7243041992
250402_mEclipse_QC_ncORF-055,21,0.1125530504,1225824.9389038086
250402_mEclipse_QC_ncORF-055,22,0.118125147466667,1268246.8200073242
250402_mEclipse_QC_ncORF-055,23,0.123703006933333,1240115.4944458008
250402_mEclipse_QC_ncORF-055,24,0.1292807592,1201160.1680297852
250402_mEclipse_QC_ncORF-055,25,0.134869056533333,1159091.3532104492
250402_mEclipse_QC_ncORF-055,26,0.140433833866667,1147359.3482055664
250402_mEclipse_QC_ncORF-055,27,0.1460062136,1194687.560119629
250402_mEclipse_QC_ncORF-055,28,0.1515842856,1272643.808227539
250402_mEclipse_QC_ncORF-055,29,0.157162501333333,1143356.2042236328
250402_mEclipse_QC_ncORF-055,30,0.162740671466667,1123934.3559570312
250402_mEclipse_QC_ncORF-055,31,0.168330481066667,1317666.2053222656
250402_mEclipse_QC_ncORF-055,32,0.173907922666667,1144568.303527832
250402_mEclipse_QC_ncORF-055,33,0.1794788264,1170274.47265625
250402_mEclipse_QC_ncORF-055,34,0.185050675466667,1178484.2451782227
250402_mEclipse_QC_ncORF-055,35,0.190622164533333,1260376.7217407227
250402_mEclipse_QC_ncORF-055,36,0.19619302,1315467.006286621
250402_mEclipse_QC_ncORF-055,37,0.201799251733333,1229388.7508544922
250402_mEclipse_QC_ncORF-055,38,0.207374036,1202155.3094482422
250402_mEclipse_QC_ncORF-055,39,0.212943499466667,1179243.133605957
250402_mEclipse_QC_ncORF-055,40,0.218516084,1239649.78125
250402_mEclipse_QC_ncORF-055,41,0.224091284266667,1238289.309387207
250402_mEclipse_QC_ncORF-055,42,0.229665035733333,1204211.8040161133
250402_mEclipse_QC_ncORF-055,43,0.235255222666667,1148754.5697021484
250402_mEclipse_QC_ncORF-055,44,0.240822148533333,1190225.3115234375
250402_mEclipse_QC_ncORF-055,45,0.246400613866667,1213028.1915283203
250402_mEclipse_QC_ncORF-055,46,0.251975093066667,1180927.6486206055
250402_mEclipse_QC_ncORF-055,47,0.257540068266667,1094862.9884033203
250402_mEclipse_QC_ncORF-055,48,0.2631106216,1131754.2954711914
250402_mEclipse_QC_ncORF-055,49,0.268699820266667,1149980.6110839844
250402_mEclipse_QC_ncORF-055,50,0.274267211733333,1206939.0848999023
250402_mEclipse_QC_ncORF-055,51,0.279849708266667,1107873.0129394531
250402_mEclipse_QC_ncORF-055,52,0.2854196376,1109064.6096801758
250402_mEclipse_QC_ncORF-055,53,0.290984872266667,1128443.181640625
250402_mEclipse_QC_ncORF-055,54,0.2965522376,1126572.792175293
250402_mEclipse_QC_ncORF-055,55,0.302137069866667,1164659.558166504
250402_mEclipse_QC_ncORF-055,56,0.307704476,1194706.7923583984
250402_mEclipse_QC_ncORF-055,57,0.313281953866667,1129059.1281738281
250402_mEclipse_QC_ncORF-055,58,0.3188526384,1139316.535583496
250402_mEclipse_QC_ncORF-055,59,0.3244284392,1119904.9485473633
250402_mEclipse_QC_ncORF-055,60,0.3300009304,1089926.1461791992
250402_mEclipse_QC_ncORF-055,61,0.335591494666667,1126793.000793457
250402_mEclipse_QC_ncORF-055,62,0.341158060533333,1139629.6733398438
250402_mEclipse_QC_ncORF-055,63,0.346728422933333,1157639.1068115234
250402_mEclipse_QC_ncORF-055,64,0.352297154666667,1075268.7423095703
250402_mEclipse_QC_ncORF-055,65,0.357864602666667,1152144.3129882812
250402_mEclipse_QC_ncORF-055,66,0.3634308184,1103295.4366455078
250402_mEclipse_QC_ncORF-055,67,0.369013569333333,1189987.134399414
250402_mEclipse_QC_ncORF-055,68,0.374586024533333,1114421.7666625977
250402_mEclipse_QC_ncORF-055,69,0.380154193866667,1077556.358215332
250402_mEclipse_QC_ncORF-055,70,0.385718744533333,1167927.3235473633
250402_mEclipse_QC_ncORF-055,71,0.391286236266667,1080574.892944336
250402_mEclipse_QC_ncORF-055,72,0.396857626133333,1077069.987121582
250402_mEclipse_QC_ncORF-055,73,0.4024451,1054184.9981079102
250402_mEclipse_QC_ncORF-055,74,0.408011314666667,1187134.5056152344
